pattern_name,section_order,cta_placement,color_strategy,effects,conversion_tips
Classic SaaS (Hero → Logos → Features → Testimonials → Pricing → FAQ → Final CTA),"Hero, Social proof logos, Feature grid, How it works, Testimonials, Pricing, FAQ, Final CTA",Primary CTA in hero (above fold) + sticky header CTA + final CTA section,Neutral base with 1 strong brand accent for CTAs; subtle tinted backgrounds to separate sections,"Light gradient in hero, soft shadows on cards, subtle hover states",Make headline outcome-driven; pair CTA with 1-line reassurance; show logos early; keep pricing simple with default highlighted plan.
Problem–Agitate–Solve (PAS),"Hero problem statement, Pain points, Consequences, Solution overview, Benefits, Proof, Offer, FAQ, CTA",Hero CTA + mid-page CTA after solution overview + final CTA,Higher contrast in problem section; calmer/brighter palette in solution section to signal relief,"Bold section dividers, emphasis callouts, minimal animation to keep focus on copy","Use specific pains (not vague); quantify impact; show before/after; keep CTA text aligned to relief (e.g., “Fix X”)."
Story-Driven Founder Narrative,"Hero, Founder story, The moment of insight, What we built, Product shots, Customer stories, Pricing/Access, CTA",Hero CTA + CTA at end of story + final CTA,"Warm, editorial palette; strong typography; accents for quotes and CTAs","Editorial layout, pull quotes, subtle parallax for imagery (optional)","Keep story tight; anchor to customer outcome; include credibility markers (years, results, credentials); don’t bury the product UI."
Product Demo First (Interactive),"Hero with live demo/preview, Use cases, Feature deep-dive, Integrations, Security/Trust, Pricing, FAQ, CTA",Hero ‘Try demo’ + persistent ‘Start free’ + pricing CTA,Clean neutral UI frame; accent color reserved for interactive elements and CTAs,"Interactive demo, code/preview tabs, micro-animations on interactions",Reduce friction: no signup for demo; explain what to click; show a ‘time to value’ badge; add guardrails so demo can’t confuse users.
Use-Case Index (Choose Your Path),"Hero, Use-case selector, For each use case: benefits + proof, Feature summary, Pricing, FAQ, CTA",Hero CTA + CTA inside each use-case panel + final CTA,"Neutral base with distinct accent tokens per use case (small, consistent)","Tabs/segmented control, smooth scroll to selected section",Let visitors self-identify quickly; tailor CTAs per use case; keep the selector above fold; ensure every path leads back to one primary CTA.
Pricing-Led (For High Intent),"Hero + pricing preview, Full pricing, Plan comparison table, Testimonials, FAQs, Security/Trust, CTA",Hero anchors to pricing; CTA on each plan; final CTA for enterprise/contact,Minimal palette; one accent for the recommended plan; neutral backgrounds for tables,"Sticky plan toggle (monthly/annual), highlight column, subtle table row hover",Surface price early; show who each plan is for; keep comparison honest; add money-back/trial note near buttons; avoid feature overload.
Waitlist / Coming Soon,"Hero waitlist form, Value props, Sneak peek screenshots, Roadmap highlights, Social proof, FAQ, Final CTA",Inline email capture above fold + repeated capture mid-page + footer capture,Optimistic palette; keep form high-contrast; limit accents to form and buttons,"Subtle background texture, lightweight scroll reveals","Offer a clear benefit for joining; set expectations (timing); add ‘how we’ll use your email’; show progress (e.g., early access tiers)."
Lead Magnet (Content Download),"Hero offer, What’s inside, Who it’s for, Preview pages, Testimonials, Author credibility, Form, CTA",Hero form/CTA + CTA after preview + final CTA,High contrast around form; use one accent for form fields/buttons; calm content sections,"Document mockups, carousel preview, minimal motion",Reduce form fields; show tangible preview; add trust signals (no spam); clarify what happens after submit (email vs instant download).
Agency / Services (Portfolio-Led),"Hero, Services, Work gallery, Case studies, Process, Testimonials, Packages, Contact CTA",Hero ‘Book a call’ + CTA after case studies + contact form footer,Strong brand identity; use neutral canvas so work imagery stands out; accent for CTAs,"Masonry or card gallery, subtle hover zoom, sticky ‘Book’ button",Show outcomes not just visuals; include scope and results; add clear next step (call/email); keep contact friction low.
Mobile App (App Store Style),"Hero with device mockups, Core benefits, Feature highlights, Screenshots, Reviews, Pricing, CTA",Hero ‘Download’ + floating bottom bar on mobile + final CTA,Vibrant accent paired with neutral UI; gradients behind device mockups,"Device mockups, screenshot carousel, light motion for transitions",Use short benefit bullets; show 5–7 best screens; add real review snippets; keep download CTA consistent (same label everywhere).
Enterprise Trust-First,"Hero, Security/compliance, Case studies, Integrations, ROI section, Procurement FAQs, Contact sales CTA",Hero ‘Talk to sales’ + CTA after case study + gated demo request,Conservative palette (navy/gray) with restrained accent; emphasize readability,Minimal effects; crisp icons; stat callouts,"Lead with risk reduction; include compliance badges; add procurement-ready details (SLA, DPA); provide a clear demo request flow."
Community / Open Source,"Hero, GitHub stats, Why it exists, Getting started, Contributors, Sponsors, Docs links, CTA",Hero ‘Star / Install’ + CTA in getting started + sponsor CTA in footer,Developer-friendly dark or neutral theme; accent for commands and links,"Code snippets, terminal blocks, badges, subtle animations",Optimize for fast start; show copy-paste commands; link to docs; separate CTAs (install vs sponsor) to avoid confusion.
