product_type,recommended_style,color_mood,typography_mood,key_effects,anti_patterns,severity
SaaS (General),Hero + Features + CTA,Trust blue + Orange CTA,Clean,,,
geometric,Glassmorphism cards hover lift,Cluttered hero with too many CTAs,HIGH,,,
Fintech/Crypto,Conversion-Optimized,Deep purple + Amber accents,Modern sans-serif,Dark,,
mode glassmorphism,Light backgrounds reduce trust,MEDIUM,,,,
Restaurant/Food,Menu-First Visual,Warm red + Gold accents,Friendly rounded,Food,,
photography parallax,Stock photos instead of real food,HIGH,,,,
Healthcare,Patient-Centric,Calm Teal + Soft Grey,High-legibility Sans,Micro-animations for feedback,Red/Yellow primary colors (anxiety triggers),HIGH
E-commerce (Luxury),Minimalist/High-Fashion,Classic Black + Ivory,Elegant Serif,Fade-in image reveals,Loud discount banners or pop-ups,HIGH
Cybersecurity,Terminal/High-Shield,Deep Navy + Neon Green,Monospace accents,Data-stream backgrounds,Bright/Playful pastel color palettes,MEDIUM
Education/EdTech,Focus-Driven,Energizing Blue + Yellow,Soft rounded fonts,Gamification progress bars,Overwhelming gamification noise,MEDIUM
Legal/Law Firm,Stately/Professional,Navy + Charcoal,Traditional Serif,Subtle border dividers,Casual/Comic-style iconography,HIGH
Real Estate,Image-Centric,Clean White + Slate,Modern Sans-serif,Full-width galleries,Hidden property pricing/CTA buttons,HIGH
Gaming (Hardcore),Aggressive/High-Octane,Electric Red + Matte Black,Futuristic/Angled,Neon glows and glitch effects,Low-contrast text on busy backgrounds,MEDIUM
Mental Health App,Zen/Minimalist,Soft Lavender + Sage,Thin Sans-serif,Gradient breathing guides,Aggressive push notifications,HIGH
B2B Enterprise,Data-Dense,Corporate Blue + Silver,Functional Sans,Sortable data tables,Oversized 'cute' illustrations,MEDIUM
Logistics/Supply Chain,Utility-First,Industrial Orange + Grey,Condensed Sans,Status tracking timelines,Over-animated UI transitions,LOW
Automotive,Speed/Performance,Jet Black + Chrome,Italicized Sans-serif,Reflective surface textures,Complex multi-level navigation menus,MEDIUM
Travel/Tourism,Destination-Focused,Azure + Sun Yellow,Adventurous Serif,Immersive video headers,Auto-playing audio on landing,HIGH
Non-Profit/Charity,Impact-Driven,Earth Tones + Warmth,Humanist Sans,Heart-icon micro-interactions,Hiding the 'Donate' button in menus,HIGH
Fashion (Fast-Fashion),Trend-Heavy,Hot Pink + Acid Green,Extra-Bold Display,Social proof ticker tapes,Slow-loading high-res assets,MEDIUM
Music/Streaming,Atmospheric,Deep Violet + Vibrant Cyan,Dynamic Variable Fonts,Audio wave visualizations,Small touch targets for playback,HIGH
Agriculture/AgTech,Data-Grounded,Forest Green + Soil Brown,Sturdy Slab-Serif,Map-view overlays,Excessive tech-jargon in UI labes,LOW
Fitness/Wellness,Motivator,Electric Orange + Lime,Heavy Condensed Sans,Activity rings,Unskippable onboarding tutorials,MEDIUM
Jewelry/Gems,Sparkle/Elegance,Rose Gold + Deep Emerald,Classic Serif,High-contrast lighting,Low-quality/Grainy product close-ups,HIGH
