product_type,primary,secondary,cta,background,text,border
SaaS (General),#2563EB,#3B82F6,#F97316,#F8FAFC,#1E293B,#E2E8F0
E-commerce (Fashion),#059669,#10B981,#F97316,#ECFDF5,#064E3B,#A7F3D0
Fintech/Crypto,#6366F1,#818CF8,#F59E0B,#0F172A,#F8FAFC,#334155
Healthcare App,#0891B2,#22D3EE,#059669,#ECFEFF,#164E63,#A5F3FC
Restaurant/Food,#DC2626,#F87171,#F59E0B,#FEF2F2,#7F1D1D,#FECACA
Luxury/Premium,#1C1917,#44403C,#CA8A04,#FAFAF9,#0C0A09,#D6D3D1
Loft Conversion (Simply Loft),#1A365D,#2B6CB0,#E53E3E,#FFFFFF,#2D3748,#E2E8F0
Loft Specialist (The Loft Converter),#0B172A,#1E293B,#F59E0B,#F8FAFC,#0F172A,#CBD5E1
Custom Carpentry (A Carpenter's Son),#3E2723,#5D4037,#8D6E63,#F5F5DC,#212121,#D7CCC8
Heritage Carpentry (Westbrook),#1B4332,#2D6A4F,#B08968,#F8F9FA,#081C15,#D8E2DC
Modern Joinery (Designed & Made),#262626,#404040,#D97706,#FAFAFA,#171717,#E5E5E5
