category,rule,do_pattern,do_code,dont_pattern,dont_code,severity
Navigation,Use smooth scrolling for anchor links,Add scroll-behavior to html element,html { scroll-behavior: smooth; },Jump harshly to anchor targets without smooth scrolling,html { /* no scroll-behavior */ },MEDIUM
Navigation,Implement sticky navigation for long pages,Use position sticky on nav element,nav { position: sticky; top: 0; z-index: 100; },Use fixed positioning that overlaps content without offset,nav { position: fixed; top: 0; } /* no body padding-top */,HIGH
Navigation,Provide breadcrumb trails for deep hierarchies,Use nav with aria-label and ordered list,"<nav aria-label=""Breadcrumb""><ol><li><a href=""/"">Home</a></li></ol></nav>",Use plain divs with no semantic meaning or ARIA,"<div class=""breadcrumb""><span>Home > Products</span></div>",MEDIUM
Navigation,Use accessible mobile hamburger menus,Toggle aria-expanded on menu button,"<button aria-expanded=""false"" aria-controls=""menu"">Menu</button>",Use a div with no keyboard or screen reader support,"<div onclick=""toggleMenu()"">☰</div>",HIGH
Navigation,Manage focus after navigation changes,Move focus to new content region on route change,document.getElementById('main-content').focus();,Leave focus on the clicked link after page content changes,// no focus management after SPA navigation,HIGH
Navigation,Add skip links for keyboard users,Provide a skip link as the first focusable element,"<a href=""#main"" class=""skip-link"">Skip to main content</a>",Omit skip links forcing tab through entire nav,<!-- no skip link provided -->,HIGH
Navigation,Show active/current page state in navigation,Use aria-current for the active page link,"<a href=""/about"" aria-current=""page"">About</a>",Rely only on visual color with no ARIA state,"<a href=""/about"" class=""active"">About</a>",MEDIUM
Navigation,Ensure hamburger icon is recognizable,Use a labeled button with a recognizable icon,"<button aria-label=""Open menu""><svg>...</svg></button>",Use an ambiguous custom icon with no label,"<div class=""menu-icon"">⬟</div>",MEDIUM
Navigation,Organize mega menus with clear groupings,Group links under headings inside the mega menu,"<div role=""menu""><h3>Category</h3><ul><li>...</li></ul></div>",Dump all links in a flat unsorted list,"<ul class=""mega""><li>Link1</li><li>Link2</li>...</ul>",MEDIUM
Navigation,Use proper pagination with accessible controls,Wrap pagination in nav with aria-label,"<nav aria-label=""Pagination""><a href=""?p=2"" aria-label=""Page 2"">2</a></nav>",Use plain spans with click handlers and no roles,"<span onclick=""goTo(2)"">2</span>",MEDIUM
