name,description,implementation,use_cases,do_examples,dont_examples
Minimal Monochrome UI,"Black/white + 1 neutral accent. Strong typographic hierarchy, generous whitespace, crisp dividers.",Use 2 font sizes + 2 weights. 8pt spacing system. 1px hairline borders (#E5E7EB). Accent only for primary actions.,"Code dashboards, admin tools, docs sites, dev productivity apps.",Do: Use 1 accent color for buttons/links. Do: Keep line-length 60–80 chars. Do: Prefer icons with consistent stroke.,Don’t: Add gradients/shadows everywhere. Don’t: Use 4+ font families. Don’t: Mix border radii randomly.
Neo-Brutalist Blocks,"Bold flat colors, thick outlines, chunky spacing, intentionally ‘raw’ layout with playful geometry.","2–3 vivid fills, 2–4px black stroke, hard shadows (offset, no blur). Use grid but allow intentional misalignment.","Landing pages, hackathon projects, playful SaaS marketing, portfolio sites.",Do: Use thick outlines consistently. Do: Keep typography bold and simple. Do: Use geometric shapes as containers.,Don’t: Pair with delicate serif body text. Don’t: Use subtle gradients. Don’t: Make everything misaligned—pick focal moments.
Soft Skeuomorphic (Modern),Tactile surfaces with subtle depth; looks physical but restrained and contemporary.,"Soft shadows (low opacity), subtle highlights, 8–16px radius, muted palette. Use layered cards and inset controls.","Music apps, settings panels, consumer apps needing warmth and approachability.",Do: Use 2 shadow layers (ambient + key). Do: Keep contrast accessible. Do: Use consistent radii.,Don’t: Overdo embossing. Don’t: Use harsh drop shadows. Don’t: Reduce text contrast to ‘look soft’.
Glassmorphism Lite,"Frosted glass panels over rich backgrounds; airy, modern, tech-forward.","Use translucent surfaces (e.g., 10–20% white), backdrop blur, 1px light border, strong background imagery/gradient.","Media players, fintech dashboards, hero sections, modals and overlays.",Do: Increase background contrast behind glass. Do: Use blur sparingly. Do: Add border for separation.,Don’t: Put long paragraphs on glass. Don’t: Stack many glass layers. Don’t: Rely on blur instead of contrast.
Nordic Calm,"Muted cool palette, minimal ornament, calm rhythm; ‘Scandi’ clarity.","Cool neutrals, soft blue/teal accents, thin strokes, large padding. Use simple icons and calm type.","Health, wellbeing, productivity, B2B apps that need trust and calm.",Do: Use low-saturation accents. Do: Keep components simple. Do: Use consistent spacing and alignment.,Don’t: Add loud brand colors. Don’t: Use heavy shadows. Don’t: Mix many icon styles.
High-Contrast Dark Mode,Dark UI with clear elevation and readable contrast; optimized for long sessions.,"Near-black surfaces (#0B0F14), 2–3 elevation layers, text contrast >= WCAG AA, accent color for focus states.","Developer tools, terminals, analytics, creative software.",Do: Use slightly lighter cards for elevation. Do: Use distinct focus rings. Do: Use muted borders.,Don’t: Use pure black everywhere. Don’t: Use low-contrast gray text. Don’t: Over-saturate accents.
Pastel Gradient Pop,Cheerful pastel gradients paired with clean UI; modern and friendly.,Use 1–2 gradient areas (hero/background). Keep UI controls solid. Pair with rounded corners and simple type.,"Consumer apps, onboarding flows, youth brands, marketing sites.",Do: Limit gradients to large areas. Do: Keep buttons solid for clarity. Do: Maintain contrast for text.,Don’t: Put gradients inside every component. Don’t: Use neon + pastel together. Don’t: Let gradients reduce legibility.
Editorial Serif + Sans,Magazine-like layout using serif headlines and sans body; sophisticated and content-first.,"Serif display for H1/H2, sans for body. Use baseline grid, generous margins, subtle rules and captions.","Blogs, long-form docs, portfolios, brand storytelling pages.",Do: Use limited type scale. Do: Keep body line-height 1.5–1.7. Do: Use image captions.,Don’t: Use more than 2 typefaces. Don’t: Overuse italics. Don’t: Compress whitespace.
Retro Terminal,"CRT/terminal vibes: monospace, scanlines optional, green/amber on dark.","Monospace font, limited palette (green/amber/gray), pixel icons, subtle noise. Use box-drawing borders.","CLI tools, dev-themed sites, playful demos, security tools marketing.","Do: Keep interactions modern (buttons, focus states). Do: Use monospace consistently. Do: Use subtle noise.",Don’t: Make everything tiny. Don’t: Sacrifice accessibility. Don’t: Use too many effects (scanlines + glitch + noise).
Material-ish Cards,Card-based layout with clear elevation and motion; familiar and scalable.,"Use 2–3 elevation levels, consistent shadows, 4–8px radii, clear iconography. Motion: 150–250ms ease.","Dashboards, content libraries, mobile-first web apps.",Do: Use elevation to show hierarchy. Do: Keep motion consistent. Do: Use clear card spacing.,Don’t: Use random shadow styles. Don’t: Over-animate. Don’t: Nest too many cards.
Data-Dense Professional,"Compact, information-forward UI with strong grid and typographic clarity.","Tight spacing, table-first components, restrained color. Use zebra rows, sticky headers, compact filters.","Ops dashboards, finance tools, CRM/ERP, monitoring.",Do: Use alignment and spacing to reduce visual noise. Do: Provide hover/selected row states. Do: Use icons sparingly.,Don’t: Waste vertical space. Don’t: Rely on color alone for status. Don’t: Use oversized illustrations.
Playful Rounded,"Friendly shapes, rounded corners, warm palette; approachable and human.","12–24px radii, soft shadows, warm accents, chunky buttons. Use simple illustrations and friendly microcopy.","Education, kids apps, onboarding, community products.",Do: Keep a consistent radius system. Do: Use warm neutrals. Do: Use playful but readable typography.,Don’t: Mix sharp and round components. Don’t: Overuse stickers/badges. Don’t: Use childish fonts for body text.
